0: O3_perf=2417.0, opt_perf=2477.0, acc_rate=0.9757771497779572
1: O3_perf=2417.0, opt_perf=2453.0, acc_rate=0.9853240929474113
2: O3_perf=2417.0, opt_perf=2614.0, acc_rate=0.9246365723029839
3: O3_perf=2417.0, opt_perf=2495.0, acc_rate=0.9687374749498998
4: O3_perf=2417.0, opt_perf=2591.0, acc_rate=0.9328444615978386
5: O3_perf=2417.0, opt_perf=2511.0, acc_rate=0.9625647152528873
6: O3_perf=2417.0, opt_perf=2532.0, acc_rate=0.9545813586097947
7: O3_perf=2417.0, opt_perf=2594.0, acc_rate=0.9317656129529683
8: O3_perf=2417.0, opt_perf=2659.0, acc_rate=0.9089883414817601
9: O3_perf=2417.0, opt_perf=2623.0, acc_rate=0.9214639725505147
10: O3_perf=2417.0, opt_perf=2558.0, acc_rate=0.9448788115715403
11: O3_perf=2417.0, opt_perf=2652.0, acc_rate=0.9113876319758673
12: O3_perf=2417.0, opt_perf=2824.0, acc_rate=0.8558781869688386
13: O3_perf=2417.0, opt_perf=2632.0, acc_rate=0.9183130699088146
14: O3_perf=2417.0, opt_perf=2616.0, acc_rate=0.9239296636085627
15: O3_perf=2417.0, opt_perf=2533.0, acc_rate=0.9542045005921832
16: O3_perf=2417.0, opt_perf=2682.0, acc_rate=0.901193139448173
17: O3_perf=2417.0, opt_perf=2755.0, acc_rate=0.8773139745916515
18: O3_perf=2417.0, opt_perf=2611.0, acc_rate=0.9256989659134431
19: O3_perf=2417.0, opt_perf=2645.0, acc_rate=0.9137996219281663
20: O3_perf=2417.0, opt_perf=2609.0, acc_rate=0.9264085856650057
21: O3_perf=2417.0, opt_perf=2646.0, acc_rate=0.9134542705971277
22: O3_perf=2417.0, opt_perf=2761.0, acc_rate=0.8754074610648316
23: O3_perf=2417.0, opt_perf=2543.0, acc_rate=0.950452221785293
24: O3_perf=2417.0, opt_perf=2543.0, acc_rate=0.950452221785293
25: O3_perf=2417.0, opt_perf=2583.0, acc_rate=0.9357336430507163
26: O3_perf=2417.0, opt_perf=2596.0, acc_rate=0.9310477657935285
27: O3_perf=2417.0, opt_perf=2744.0, acc_rate=0.8808309037900874
28: O3_perf=2417.0, opt_perf=2565.0, acc_rate=0.9423001949317739
29: O3_perf=2417.0, opt_perf=2627.0, acc_rate=0.9200609059763989
30: O3_perf=2417.0, opt_perf=2782.0, acc_rate=0.8687994248741913
31: O3_perf=2417.0, opt_perf=2797.0, acc_rate=0.8641401501608866
32: O3_perf=2417.0, opt_perf=2721.0, acc_rate=0.8882763689819919
33: O3_perf=2417.0, opt_perf=2624.0, acc_rate=0.9211128048780488
34: O3_perf=2417.0, opt_perf=2635.0, acc_rate=0.9172675521821632
35: O3_perf=2417.0, opt_perf=2810.0, acc_rate=0.8601423487544484
36: O3_perf=2417.0, opt_perf=2772.0, acc_rate=0.8719336219336219
37: O3_perf=2417.0, opt_perf=2732.0, acc_rate=0.8846998535871157
38: O3_perf=2417.0, opt_perf=2609.0, acc_rate=0.9264085856650057
39: O3_perf=2417.0, opt_perf=2629.0, acc_rate=0.9193609737542792
40: O3_perf=2417.0, opt_perf=2759.0, acc_rate=0.8760420442189198
41: O3_perf=2417.0, opt_perf=2771.0, acc_rate=0.8722482858173944
42: O3_perf=2417.0, opt_perf=2745.0, acc_rate=0.8805100182149362
43: O3_perf=2417.0, opt_perf=2634.0, acc_rate=0.9176157934700075
44: O3_perf=2417.0, opt_perf=2820.0, acc_rate=0.8570921985815603
45: O3_perf=2417.0, opt_perf=2796.0, acc_rate=0.8644492131616596
46: O3_perf=2417.0, opt_perf=2803.0, acc_rate=0.8622904031394935
47: O3_perf=2417.0, opt_perf=2750.0, acc_rate=0.8789090909090909
48: O3_perf=2417.0, opt_perf=2653.0, acc_rate=0.9110441010177158
49: O3_perf=2417.0, opt_perf=2770.0, acc_rate=0.8725631768953068
