0: O3_perf=2280410.25, opt_perf=1587504.62, acc_rate=0.6961486951744758
1: O3_perf=2280410.25, opt_perf=1554244.62, acc_rate=0.6815636002337738
2: O3_perf=2280410.25, opt_perf=1834359.25, acc_rate=0.8043987918401962
3: O3_perf=2280410.25, opt_perf=1622718.0, acc_rate=0.7115903815991004
4: O3_perf=2280410.25, opt_perf=1625074.75, acc_rate=0.712623857922056
5: O3_perf=2280410.25, opt_perf=2073271.25, acc_rate=0.9091659055645799
6: O3_perf=2280410.25, opt_perf=1906112.88, acc_rate=0.8358640205199919
7: O3_perf=2280410.25, opt_perf=1640018.0, acc_rate=0.7191767358526826
8: O3_perf=2280410.25, opt_perf=1686425.88, acc_rate=0.7395274074039967
9: O3_perf=2280410.25, opt_perf=1519781.25, acc_rate=0.6664508063845092
10: O3_perf=2280410.25, opt_perf=2049812.38, acc_rate=0.8988787785004912
11: O3_perf=2280410.25, opt_perf=1885229.25, acc_rate=0.8267061814864234
12: O3_perf=2280410.25, opt_perf=1676784.88, acc_rate=0.7352996593485756
13: O3_perf=2280410.25, opt_perf=1691877.25, acc_rate=0.7419179290217627
14: O3_perf=2280410.25, opt_perf=1537213.75, acc_rate=0.6740952642183572
15: O3_perf=2280410.25, opt_perf=2141881.5, acc_rate=0.9392527068320272
16: O3_perf=2280410.25, opt_perf=1789102.5, acc_rate=0.7845529110387045
17: O3_perf=2280410.25, opt_perf=1851202.25, acc_rate=0.8117847435565596
18: O3_perf=2280410.25, opt_perf=1688392.25, acc_rate=0.7403896952313734
19: O3_perf=2280410.25, opt_perf=1896383.62, acc_rate=0.8315975689023499
20: O3_perf=2280410.25, opt_perf=2099166.5, acc_rate=0.9205214281070697
21: O3_perf=2280410.25, opt_perf=1850553.38, acc_rate=0.8115002026499398
22: O3_perf=2280410.25, opt_perf=1827754.25, acc_rate=0.8015023831786408
23: O3_perf=2280410.25, opt_perf=1676981.75, acc_rate=0.735385990305911
24: O3_perf=2280410.25, opt_perf=2033762.5, acc_rate=0.8918406238526598
25: O3_perf=2280410.25, opt_perf=2100357.0, acc_rate=0.9210434832942889
26: O3_perf=2280410.25, opt_perf=1830799.5, acc_rate=0.8028377788601854
27: O3_perf=2280410.25, opt_perf=1849182.62, acc_rate=0.810899100282504
28: O3_perf=2280410.25, opt_perf=1701173.75, acc_rate=0.7459946077684926
29: O3_perf=2280410.25, opt_perf=2023187.75, acc_rate=0.8872034100004593
30: O3_perf=2280410.25, opt_perf=2157778.5, acc_rate=0.9462238209111715
31: O3_perf=2280410.25, opt_perf=1838541.25, acc_rate=0.8062326723886634
32: O3_perf=2280410.25, opt_perf=1606787.12, acc_rate=0.7046044105441116
33: O3_perf=2280410.25, opt_perf=1626493.88, acc_rate=0.7132461713851707
34: O3_perf=2280410.25, opt_perf=1601385.12, acc_rate=0.7022355385396115
35: O3_perf=2280410.25, opt_perf=1814258.12, acc_rate=0.7955840928183866
36: O3_perf=2280410.25, opt_perf=1856184.75, acc_rate=0.81396965743335
37: O3_perf=2280410.25, opt_perf=1866544.0, acc_rate=0.8185123707455709
38: O3_perf=2280410.25, opt_perf=1632711.25, acc_rate=0.7159725974745115
39: O3_perf=2280410.25, opt_perf=1632494.75, acc_rate=0.715877658416945
40: O3_perf=2280410.25, opt_perf=1919977.25, acc_rate=0.8419437905964507
41: O3_perf=2280410.25, opt_perf=1577214.0, acc_rate=0.6916360773242446
42: O3_perf=2280410.25, opt_perf=1830596.62, acc_rate=0.8027488124121527
43: O3_perf=2280410.25, opt_perf=1661798.75, acc_rate=0.728727977783822
44: O3_perf=2280410.25, opt_perf=1908690.25, acc_rate=0.8369942425929721
45: O3_perf=2280410.25, opt_perf=1856986.75, acc_rate=0.8143213485380536
46: O3_perf=2280410.25, opt_perf=1604957.62, acc_rate=0.7038021426188555
47: O3_perf=2280410.25, opt_perf=1859117.88, acc_rate=0.8152558865230499
48: O3_perf=2280410.25, opt_perf=1684808.0, acc_rate=0.7388179385704831
49: O3_perf=2280410.25, opt_perf=1807700.75, acc_rate=0.7927085707494956
