0: O3_perf=457.58623674802215, opt_perf=283.42792048937764, acc_rate=0.6193978265247785
1: O3_perf=457.58623674802215, opt_perf=350.10157426695866, acc_rate=0.7651051236922325
2: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
3: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
4: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
5: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
6: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
7: O3_perf=457.58623674802215, opt_perf=457.7018346074942, acc_rate=1.0002526252981156
8: O3_perf=457.58623674802215, opt_perf=457.1672625432907, acc_rate=0.9990843819785555
9: O3_perf=457.58623674802215, opt_perf=353.78261177033284, acc_rate=0.7731495909592871
10: O3_perf=457.58623674802215, opt_perf=286.8833243014499, acc_rate=0.6269491983418793
11: O3_perf=457.58623674802215, opt_perf=438.35352553662125, acc_rate=0.957969209589685
12: O3_perf=457.58623674802215, opt_perf=404.34029095275025, acc_rate=0.8836373528765187
13: O3_perf=457.58623674802215, opt_perf=192.50622268898306, acc_rate=0.42069932884583233
14: O3_perf=457.58623674802215, opt_perf=433.5844432990081, acc_rate=0.947546950669692
15: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
16: O3_perf=457.58623674802215, opt_perf=302.83996365432927, acc_rate=0.6618205254741816
17: O3_perf=457.58623674802215, opt_perf=419.061424796695, acc_rate=0.9158086304668698
18: O3_perf=457.58623674802215, opt_perf=430.6337681111805, acc_rate=0.9410986029029463
19: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
20: O3_perf=457.58623674802215, opt_perf=458.7438537126602, acc_rate=1.0025298334426862
21: O3_perf=457.58623674802215, opt_perf=391.07898433165263, acc_rate=0.8546563531083805
22: O3_perf=457.58623674802215, opt_perf=272.5314121343659, acc_rate=0.5955848105729633
23: O3_perf=457.58623674802215, opt_perf=472.6097432626048, acc_rate=1.0328320769028192
24: O3_perf=457.58623674802215, opt_perf=371.19993248438726, acc_rate=0.8112130625309759
25: O3_perf=457.58623674802215, opt_perf=371.19993248438726, acc_rate=0.8112130625309759
26: O3_perf=457.58623674802215, opt_perf=466.8561604663112, acc_rate=1.020258309743249
27: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
28: O3_perf=457.58623674802215, opt_perf=466.8561604663112, acc_rate=1.020258309743249
29: O3_perf=457.58623674802215, opt_perf=449.02266872342824, acc_rate=0.9812853461558338
30: O3_perf=457.58623674802215, opt_perf=290.4987696980546, acc_rate=0.6348503219034161
31: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
32: O3_perf=457.58623674802215, opt_perf=446.91308794859293, acc_rate=0.9766751096464762
33: O3_perf=457.58623674802215, opt_perf=304.73755686314706, acc_rate=0.6659674885085237
34: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
35: O3_perf=457.58623674802215, opt_perf=445.48076535100796, acc_rate=0.9735449398936352
36: O3_perf=457.58623674802215, opt_perf=326.4027350971375, acc_rate=0.7133141447103377
37: O3_perf=457.58623674802215, opt_perf=326.4027350971375, acc_rate=0.7133141447103377
38: O3_perf=457.58623674802215, opt_perf=462.3538673863931, acc_rate=1.0104190866234386
39: O3_perf=457.58623674802215, opt_perf=328.47106096200304, acc_rate=0.7178342235474214
40: O3_perf=457.58623674802215, opt_perf=inf, acc_rate=-1
41: O3_perf=457.58623674802215, opt_perf=441.5669458141666, acc_rate=0.9649917553296586
42: O3_perf=457.58623674802215, opt_perf=301.75159573045676, acc_rate=0.6594420275289476
43: O3_perf=457.58623674802215, opt_perf=301.75159573045676, acc_rate=0.6594420275289476
44: O3_perf=457.58623674802215, opt_perf=466.5221694698364, acc_rate=1.0195284123607393
45: O3_perf=457.58623674802215, opt_perf=280.79444608221894, acc_rate=0.6136426831317554
46: O3_perf=457.58623674802215, opt_perf=280.79444608221894, acc_rate=0.6136426831317554
47: O3_perf=457.58623674802215, opt_perf=445.0394426082328, acc_rate=0.9725804818148442
48: O3_perf=457.58623674802215, opt_perf=289.34953681835685, acc_rate=0.6323388108757568
49: O3_perf=457.58623674802215, opt_perf=288.74518229263924, acc_rate=0.6310180663314876
