0: O3_perf=2417.0, opt_perf=2158.0, acc_rate=1.1200185356811863
1: O3_perf=2417.0, opt_perf=2107.0, acc_rate=1.1471286188894163
2: O3_perf=2417.0, opt_perf=2129.0, acc_rate=1.135274776890559
3: O3_perf=2417.0, opt_perf=2169.0, acc_rate=1.1143384047948364
4: O3_perf=2417.0, opt_perf=2156.0, acc_rate=1.1210575139146568
5: O3_perf=2417.0, opt_perf=2131.0, acc_rate=1.1342092914124824
6: O3_perf=2417.0, opt_perf=2110.0, acc_rate=1.1454976303317534
7: O3_perf=2417.0, opt_perf=2123.0, acc_rate=1.1384832783796515
8: O3_perf=2417.0, opt_perf=2181.0, acc_rate=1.1082072443833104
9: O3_perf=2417.0, opt_perf=2137.0, acc_rate=1.1310248011230697
10: O3_perf=2417.0, opt_perf=2167.0, acc_rate=1.1153668666359022
11: O3_perf=2417.0, opt_perf=2207.0, acc_rate=1.095151789759855
12: O3_perf=2417.0, opt_perf=2146.0, acc_rate=1.1262814538676607
13: O3_perf=2417.0, opt_perf=2137.0, acc_rate=1.1310248011230697
14: O3_perf=2417.0, opt_perf=2142.0, acc_rate=1.1283846872082166
15: O3_perf=2417.0, opt_perf=2131.0, acc_rate=1.1342092914124824
16: O3_perf=2417.0, opt_perf=2139.0, acc_rate=1.1299672744273024
17: O3_perf=2417.0, opt_perf=2125.0, acc_rate=1.1374117647058823
18: O3_perf=2417.0, opt_perf=-1, acc_rate=-1
19: O3_perf=2417.0, opt_perf=-1, acc_rate=-1
20: O3_perf=2417.0, opt_perf=2122.0, acc_rate=1.1390197926484449
21: O3_perf=2417.0, opt_perf=2175.0, acc_rate=1.111264367816092
22: O3_perf=2417.0, opt_perf=2136.0, acc_rate=1.131554307116105
23: O3_perf=2417.0, opt_perf=2135.0, acc_rate=1.1320843091334896
24: O3_perf=2417.0, opt_perf=2112.0, acc_rate=1.144412878787879
25: O3_perf=2417.0, opt_perf=2145.0, acc_rate=1.1268065268065268
26: O3_perf=2417.0, opt_perf=2180.0, acc_rate=1.1087155963302753
27: O3_perf=2417.0, opt_perf=2137.0, acc_rate=1.1310248011230697
28: O3_perf=2417.0, opt_perf=2142.0, acc_rate=1.1283846872082166
29: O3_perf=2417.0, opt_perf=2108.0, acc_rate=1.146584440227704
30: O3_perf=2417.0, opt_perf=2144.0, acc_rate=1.1273320895522387
31: O3_perf=2417.0, opt_perf=2130.0, acc_rate=1.1347417840375587
32: O3_perf=2417.0, opt_perf=2130.0, acc_rate=1.1347417840375587
33: O3_perf=2417.0, opt_perf=2131.0, acc_rate=1.1342092914124824
34: O3_perf=2417.0, opt_perf=2117.0, acc_rate=1.1417099669343411
35: O3_perf=2417.0, opt_perf=2131.0, acc_rate=1.1342092914124824
36: O3_perf=2417.0, opt_perf=2152.0, acc_rate=1.1231412639405205
37: O3_perf=2417.0, opt_perf=2121.0, acc_rate=1.1395568128241396
38: O3_perf=2417.0, opt_perf=2123.0, acc_rate=1.1384832783796515
39: O3_perf=2417.0, opt_perf=2104.0, acc_rate=1.148764258555133
40: O3_perf=2417.0, opt_perf=2164.0, acc_rate=1.116913123844732
41: O3_perf=2417.0, opt_perf=2173.0, acc_rate=1.1122871606074551
42: O3_perf=2417.0, opt_perf=2160.0, acc_rate=1.1189814814814816
43: O3_perf=2417.0, opt_perf=2138.0, acc_rate=1.1304957904583723
44: O3_perf=2417.0, opt_perf=2105.0, acc_rate=1.1482185273159145
45: O3_perf=2417.0, opt_perf=2137.0, acc_rate=1.1310248011230697
46: O3_perf=2417.0, opt_perf=2177.0, acc_rate=1.1102434542949013
47: O3_perf=2417.0, opt_perf=2109.0, acc_rate=1.146040777619725
48: O3_perf=2417.0, opt_perf=2151.0, acc_rate=1.1236634123663412
49: O3_perf=2417.0, opt_perf=2108.0, acc_rate=1.146584440227704
