0: O3_perf=2280410.25, opt_perf=2463229.5, acc_rate=1.0801694563511106
1: O3_perf=2280410.25, opt_perf=2391858.25, acc_rate=1.0488719080261983
2: O3_perf=2280410.25, opt_perf=inf, acc_rate=-1
3: O3_perf=2280410.25, opt_perf=2356983.5, acc_rate=1.0335787168120298
4: O3_perf=2280410.25, opt_perf=2598508.5, acc_rate=1.139491676991015
5: O3_perf=2280410.25, opt_perf=2516394.0, acc_rate=1.1034830246005078
6: O3_perf=2280410.25, opt_perf=inf, acc_rate=-1
7: O3_perf=2280410.25, opt_perf=2633679.25, acc_rate=1.1549146694109098
8: O3_perf=2280410.25, opt_perf=2380102.25, acc_rate=1.0437166952744577
9: O3_perf=2280410.25, opt_perf=2435978.75, acc_rate=1.068219523219561
10: O3_perf=2280410.25, opt_perf=2374724.0, acc_rate=1.041358238062647
11: O3_perf=2280410.25, opt_perf=2364569.25, acc_rate=1.0369052015969495
12: O3_perf=2280410.25, opt_perf=2610635.75, acc_rate=1.1448096893968969
13: O3_perf=2280410.25, opt_perf=2435465.0, acc_rate=1.0679942348092848
14: O3_perf=2280410.25, opt_perf=2295530.75, acc_rate=1.006630605172907
15: O3_perf=2280410.25, opt_perf=2455528.75, acc_rate=1.076792542043696
16: O3_perf=2280410.25, opt_perf=2315208.25, acc_rate=1.0152595349893732
17: O3_perf=2280410.25, opt_perf=2630333.0, acc_rate=1.1534472799357045
18: O3_perf=2280410.25, opt_perf=2491047.25, acc_rate=1.0923680289544393
19: O3_perf=2280410.25, opt_perf=inf, acc_rate=-1
20: O3_perf=2280410.25, opt_perf=2412709.75, acc_rate=1.0580156574896995
21: O3_perf=2280410.25, opt_perf=2438964.75, acc_rate=1.069528936734081
22: O3_perf=2280410.25, opt_perf=2590495.5, acc_rate=1.135977835567087
23: O3_perf=2280410.25, opt_perf=2477211.75, acc_rate=1.0863009188807145
24: O3_perf=2280410.25, opt_perf=2504884.5, acc_rate=1.098435906433941
25: O3_perf=2280410.25, opt_perf=2386577.75, acc_rate=1.046556315908508
26: O3_perf=2280410.25, opt_perf=2633607.0, acc_rate=1.1548829865152552
27: O3_perf=2280410.25, opt_perf=2544559.75, acc_rate=1.1158342013240818
28: O3_perf=2280410.25, opt_perf=2477337.25, acc_rate=1.0863559528378721
29: O3_perf=2280410.25, opt_perf=2479893.25, acc_rate=1.0874768037900198
30: O3_perf=2280410.25, opt_perf=2339121.0, acc_rate=1.0257456964158094
31: O3_perf=2280410.25, opt_perf=2593766.75, acc_rate=1.1374123362232738
32: O3_perf=2280410.25, opt_perf=2692106.75, acc_rate=1.1805361557202263
33: O3_perf=2280410.25, opt_perf=2468147.0, acc_rate=1.0823258665847515
34: O3_perf=2280410.25, opt_perf=2356880.75, acc_rate=1.0335336591299746
35: O3_perf=2280410.25, opt_perf=2336012.0, acc_rate=1.0243823452380991
36: O3_perf=2280410.25, opt_perf=2642176.5, acc_rate=1.1586408629763
37: O3_perf=2280410.25, opt_perf=2548245.5, acc_rate=1.1174504675200438
38: O3_perf=2280410.25, opt_perf=2661869.25, acc_rate=1.1672764801859665
39: O3_perf=2280410.25, opt_perf=2391593.75, acc_rate=1.04875592012446
40: O3_perf=2280410.25, opt_perf=2460366.5, acc_rate=1.0789139804997807
41: O3_perf=2280410.25, opt_perf=2623119.75, acc_rate=1.1502841429519097
42: O3_perf=2280410.25, opt_perf=2652473.25, acc_rate=1.1631561689393388
43: O3_perf=2280410.25, opt_perf=2622979.75, acc_rate=1.150222750489742
44: O3_perf=2280410.25, opt_perf=2403617.25, acc_rate=1.0540284363306998
45: O3_perf=2280410.25, opt_perf=inf, acc_rate=-1
46: O3_perf=2280410.25, opt_perf=2649230.0, acc_rate=1.1617339467755856
47: O3_perf=2280410.25, opt_perf=2578654.0, acc_rate=1.1307851295616655
48: O3_perf=2280410.25, opt_perf=2504571.0, acc_rate=1.098298431170444
49: O3_perf=2280410.25, opt_perf=2428640.5, acc_rate=1.0650015715374022
