0: O3_perf=457.58623674802215, opt_perf=464.8881796637535, acc_rate=1.0159575230400828
1: O3_perf=457.58623674802215, opt_perf=443.00428844388034, acc_rate=0.9681328957623968
2: O3_perf=457.58623674802215, opt_perf=458.26127449437394, acc_rate=1.001475214270318
3: O3_perf=457.58623674802215, opt_perf=498.38912205434934, acc_rate=1.0891698264272665
4: O3_perf=457.58623674802215, opt_perf=446.36511556772706, acc_rate=0.9754775815373263
5: O3_perf=457.58623674802215, opt_perf=468.640439214545, acc_rate=1.0241576375746853
6: O3_perf=457.58623674802215, opt_perf=469.4795227348905, acc_rate=1.025991354266666
7: O3_perf=457.58623674802215, opt_perf=458.90699296870645, acc_rate=1.0028863547777807
8: O3_perf=457.58623674802215, opt_perf=449.83336887195526, acc_rate=0.9830570343829285
9: O3_perf=457.58623674802215, opt_perf=474.4914830200586, acc_rate=1.036944394115039
10: O3_perf=457.58623674802215, opt_perf=484.6105701456465, acc_rate=1.0590584489378025
11: O3_perf=457.58623674802215, opt_perf=468.175786037965, acc_rate=1.0231421936227818
12: O3_perf=457.58623674802215, opt_perf=457.6920652729393, acc_rate=1.000231275585711
13: O3_perf=457.58623674802215, opt_perf=451.5441086355761, acc_rate=0.9867956515576467
14: O3_perf=457.58623674802215, opt_perf=453.1360750465139, acc_rate=0.9902747037735778
15: O3_perf=457.58623674802215, opt_perf=470.9530604093541, acc_rate=1.0292115946413236
16: O3_perf=457.58623674802215, opt_perf=465.85447556629316, acc_rate=1.0180692471806665
17: O3_perf=457.58623674802215, opt_perf=488.23381832017816, acc_rate=1.0669766245374042
18: O3_perf=457.58623674802215, opt_perf=456.5811528056234, acc_rate=0.9978035092367687
19: O3_perf=457.58623674802215, opt_perf=450.89131925656056, acc_rate=0.9853690584335729
20: O3_perf=457.58623674802215, opt_perf=461.8244175474525, acc_rate=1.00926203731465
21: O3_perf=457.58623674802215, opt_perf=480.6453813492833, acc_rate=1.0503930030001298
22: O3_perf=457.58623674802215, opt_perf=482.6680693483214, acc_rate=1.054813345739048
23: O3_perf=457.58623674802215, opt_perf=471.5732332756093, acc_rate=1.0305669082772027
24: O3_perf=457.58623674802215, opt_perf=450.70777537170574, acc_rate=0.9849679452223032
25: O3_perf=457.58623674802215, opt_perf=456.58224625775836, acc_rate=0.9978058988456494
26: O3_perf=457.58623674802215, opt_perf=451.87348368999864, acc_rate=0.9875154613507982
27: O3_perf=457.58623674802215, opt_perf=473.15431384776383, acc_rate=1.0340221707942552
28: O3_perf=457.58623674802215, opt_perf=470.25401495954145, acc_rate=1.0276839144060512
29: O3_perf=457.58623674802215, opt_perf=475.3905896736168, acc_rate=1.0389092841867946
30: O3_perf=457.58623674802215, opt_perf=479.9150431156508, acc_rate=1.048796936127964
31: O3_perf=457.58623674802215, opt_perf=439.9146056953275, acc_rate=0.9613807635948941
32: O3_perf=457.58623674802215, opt_perf=474.399754189611, acc_rate=1.0367439317254803
33: O3_perf=457.58623674802215, opt_perf=457.17861906813545, acc_rate=0.9991092003055346
34: O3_perf=457.58623674802215, opt_perf=463.00676814066526, acc_rate=1.011845923144817
35: O3_perf=457.58623674802215, opt_perf=461.0148423709508, acc_rate=1.0074928075793868
36: O3_perf=457.58623674802215, opt_perf=451.0625700392187, acc_rate=0.9857433065400614
37: O3_perf=457.58623674802215, opt_perf=483.4703229927479, acc_rate=1.0565665751415056
38: O3_perf=457.58623674802215, opt_perf=459.44244795715355, acc_rate=1.0040565276226907
39: O3_perf=457.58623674802215, opt_perf=462.65687608303944, acc_rate=1.011081275894689
40: O3_perf=457.58623674802215, opt_perf=456.5454991952853, acc_rate=0.9977255925350089
41: O3_perf=457.58623674802215, opt_perf=452.29441037193567, acc_rate=0.9884353462776886
42: O3_perf=457.58623674802215, opt_perf=504.42950572209384, acc_rate=1.1023703625943337
43: O3_perf=457.58623674802215, opt_perf=440.00582477650994, acc_rate=0.9615801119883919
44: O3_perf=457.58623674802215, opt_perf=477.97265305714063, acc_rate=1.0445520749356467
45: O3_perf=457.58623674802215, opt_perf=457.9107364118614, acc_rate=1.0007091552100549
46: O3_perf=457.58623674802215, opt_perf=437.4305352983672, acc_rate=0.9559521247996932
47: O3_perf=457.58623674802215, opt_perf=504.94334281781113, acc_rate=1.1034932921198568
48: O3_perf=457.58623674802215, opt_perf=438.83185859966494, acc_rate=0.9590145492975467
49: O3_perf=457.58623674802215, opt_perf=475.274099058255, acc_rate=1.038654707877442
